token,MP,MT,AC,DA
0I2kyX7,3,3,3,3
0iEtfX6,3,3,3,2
1WZxpN9,2,2,3,2
3UlceN0,3,0,3,2
3euCGN5,2,0,3,0
3m2Z0N3,2,3,3,3
444XzV1,2,0,3,3
4Lc6R36,0,0,2,1
6CmEmN4,1,1,3,2
6aqszN9,2,0,3,2
8QkwcV2,2,2,3,2
ByFblX4,0,0,3,1
GXVkR78,2,2,0,2
I79Y439,0,0,2,2
KpEw5N8,3,0,3,3
M6bmaX2,2,1,2,2
NEy4XV3,3,2,3,1
QjdpC79,0,0,3,1
RaWCWV0,3,3,3,3
RrMWw74,1,1,3,3
SvUO2N2,2,2,3,2
UUdXI70,3,2,3,3
UsURU71,2,0,3,2
UztxkX5,3,2,1,2
V9SdB78,3,3,3,3
XLAE3V0,0,0,2,3
ZJvjlX0,3,1,3,2
ZXW5HV7,1,0,3,0
aZdST38,3,2,2,3
bzAUO73,3,2,2,1
bzyAe38,3,3,3,3
cZYJN30,2,1,1,2
dqQyNX0,2,3,3,3
eXBtl36,2,2,2,0
fe8bNV8,3,3,3,2
kk7XyN3,1,0,3,2
lDlOZ70,3,2,3,3
myNvXN0,0,0,2,0
o539IV0,0,0,3,3
ohbQY77,0,0,3,3
qT9jw74,3,1,3,1
sJFi878,1,2,1,2
u2cpj74,0,0,3,3
vKq3E75,0,0,3,0
vSl4Z71,3,2,3,3
vUKblV7,0,0,3,3
vZMnx79,2,0,2,0
wjwftX2,3,3,3,3
wkHTG39,0,0,3,0
