token,MP,MT,AC,DA
0I2kyX7,3,3,1,3
0iEtfX6,3,3,3,3
1WZxpN9,3,2,2,2
3UlceN0,3,2,3,1
3euCGN5,3,0,3,1
3m2Z0N3,3,3,3,2
444XzV1,3,3,1,0
4Lc6R36,1,2,1,0
6CmEmN4,3,1,0,1
6aqszN9,3,0,1,1
8QkwcV2,3,2,3,2
ByFblX4,3,1,0,1
GXVkR78,3,3,1,3
I79Y439,3,2,0,1
KpEw5N8,3,1,1,1
M6bmaX2,3,2,1,2
NEy4XV3,3,3,3,1
QjdpC79,3,0,0,0
RaWCWV0,3,3,1,2
RrMWw74,3,3,1,3
SvUO2N2,3,2,3,2
UUdXI70,2,2,3,2
UsURU71,3,2,1,1
UztxkX5,2,2,1,3
V9SdB78,3,3,3,3
XLAE3V0,3,1,0,0
ZJvjlX0,2,2,3,2
ZXW5HV7,3,0,0,0
aZdST38,2,3,3,3
bzAUO73,2,2,2,2
bzyAe38,3,3,3,3
cZYJN30,1,1,2,2
dqQyNX0,3,3,3,3
eXBtl36,1,0,2,0
fe8bNV8,3,1,3,3
kk7XyN3,3,2,1,1
lDlOZ70,3,3,2,3
myNvXN0,3,0,0,0
o539IV0,3,3,0,0
ohbQY77,3,2,0,0
qT9jw74,3,2,3,2
sJFi878,1,2,2,2
u2cpj74,3,2,0,0
vKq3E75,3,0,0,0
vSl4Z71,3,3,3,3
vUKblV7,3,3,0,0
vZMnx79,3,1,2,0
wjwftX2,3,3,3,3
wkHTG39,2,0,0,0
